[ 2026-01-04 11:41:23,790 ] 21 root - INFO -Initiate the Data Ingestion
[ 2026-01-04 11:41:31,547 ] 67 root - INFO -Performed Train Test Split On the Dataframe
[ 2026-01-04 11:41:31,548 ] 68 root - INFO -Exited Split_Data_as_Train_Test Method of the Data_Ingestion Class
[ 2026-01-04 11:41:31,548 ] 74 root - INFO -Exporting Train and Test File Path
[ 2026-01-04 11:41:31,633 ] 84 root - INFO -Exported Train and Test File Path.
[ 2026-01-04 11:41:31,634 ] 23 root - INFO -Data Initiation Completed
[ 2026-01-04 11:41:31,686 ] 29 root - INFO -Initiate the Data Validation
[ 2026-01-04 11:41:31,818 ] 37 root - INFO -Required Number of columns:2
[ 2026-01-04 11:41:31,819 ] 38 root - INFO -Data Frame has Columns:31
[ 2026-01-04 11:41:31,822 ] 37 root - INFO -Required Number of columns:2
[ 2026-01-04 11:41:31,822 ] 38 root - INFO -Data Frame has Columns:31
[ 2026-01-04 11:41:32,135 ] 31 root - INFO -Data Validation Completed
[ 2026-01-04 11:41:32,136 ] 37 root - INFO -Initiate the Data Transformation
[ 2026-01-04 11:41:32,137 ] 58 root - INFO -Entered initiate Data Transformation Method of DataTransformation Class
[ 2026-01-04 11:41:32,137 ] 60 root - INFO -Starting Data Transformation
[ 2026-01-04 11:41:32,215 ] 43 root - INFO -Entered the Data Transformation object method of Transformation class
[ 2026-01-04 11:41:32,215 ] 48 root - INFO -Initialse KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-04 11:41:32,262 ] 54 root - INFO -Entered The save_object method of mainuTILS cLASS
[ 2026-01-04 11:41:32,271 ] 58 root - INFO -Exited the save_object method of MainUtils Class
[ 2026-01-04 11:41:32,276 ] 39 root - INFO -Data Transformation Completed
[ 2026-01-04 11:41:32,277 ] 45 root - INFO -Initiate the Model Trainer
