[ 2026-01-04 12:07:04,892 ] 21 root - INFO -Initiate the Data Ingestion
[ 2026-01-04 12:07:12,065 ] 67 root - INFO -Performed Train Test Split On the Dataframe
[ 2026-01-04 12:07:12,065 ] 68 root - INFO -Exited Split_Data_as_Train_Test Method of the Data_Ingestion Class
[ 2026-01-04 12:07:12,066 ] 74 root - INFO -Exporting Train and Test File Path
[ 2026-01-04 12:07:12,136 ] 84 root - INFO -Exported Train and Test File Path.
[ 2026-01-04 12:07:12,136 ] 23 root - INFO -Data Initiation Completed
[ 2026-01-04 12:07:12,147 ] 29 root - INFO -Initiate the Data Validation
[ 2026-01-04 12:07:12,257 ] 37 root - INFO -Required Number of columns:2
[ 2026-01-04 12:07:12,257 ] 38 root - INFO -Data Frame has Columns:31
[ 2026-01-04 12:07:12,257 ] 37 root - INFO -Required Number of columns:2
[ 2026-01-04 12:07:12,257 ] 38 root - INFO -Data Frame has Columns:31
[ 2026-01-04 12:07:12,644 ] 31 root - INFO -Data Validation Completed
[ 2026-01-04 12:07:12,644 ] 37 root - INFO -Initiate the Data Transformation
[ 2026-01-04 12:07:12,644 ] 58 root - INFO -Entered initiate Data Transformation Method of DataTransformation Class
[ 2026-01-04 12:07:12,645 ] 60 root - INFO -Starting Data Transformation
[ 2026-01-04 12:07:12,710 ] 43 root - INFO -Entered the Data Transformation object method of Transformation class
[ 2026-01-04 12:07:12,710 ] 48 root - INFO -Initialse KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-04 12:07:12,740 ] 54 root - INFO -Entered The save_object method of mainuTILS cLASS
[ 2026-01-04 12:07:12,750 ] 58 root - INFO -Exited the save_object method of MainUtils Class
[ 2026-01-04 12:07:12,755 ] 39 root - INFO -Data Transformation Completed
[ 2026-01-04 12:07:12,756 ] 45 root - INFO -Initiate the Model Trainer
[ 2026-01-04 12:12:56,278 ] 54 root - INFO -Entered The save_object method of mainuTILS cLASS
[ 2026-01-04 12:12:56,279 ] 58 root - INFO -Exited the save_object method of MainUtils Class
[ 2026-01-04 12:12:56,279 ] 117 root - INFO -Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_04_2026_12_07_02\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911075181891673, precision_score=0.9891085114965712, recall_score=0.9931146213041717), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9754901960784313, precision_score=0.9715215622457283, recall_score=0.9794913863822805))
[ 2026-01-04 12:12:56,283 ] 47 root - INFO -Model Trainer Completed or Created
